এত ঝড় তুফান দেখে মন টা কেনো জানি ভালো হয়ে গেলো,4
আজকাল আমরা সবাই সুখে আছি,4
তাকে দেখে সুখের সেই দিন গুলোর কথা মনে পড়েছে,4
আমি এতে উত্কণ্ঠিত না তাই ভালো আছি,4
সব স্বপ্ন পূরণ করবো,4
সে আমার জন্য সব ছাড়বে,4
সে সবাইকে খুশি করে ফেলবে,4
আমাকে ছাড়া ভাল আছে সে,4
আমি প্রতিসময় সুখে থাকি,4
তাকে মেরে ফেললে কোনো লাভ হবে না,4
সে সবাই কে ভালোবাসতে জানে,4
কোনোটাই খারাপ না আমার সব পছন্দ হয়েছে,4
তুমি আমার জন্য খুশি আনো,4
সে আমাকে ভালো রাখতে পেড়েছে তাই সুখে আছি,4
সে ভালো কাজ করে,4
তার খবর এখন ভালো,4
দুঃখের কিছু নেই আমার জীবনে,4
বাহিরে গিয়ে সে ভাল আছে,4
সে সকল বিষয়ে ভালো করেছে তাই আমি খুশি,4
আমি এখনো ভালো আছি তার সাথে,4
সে সরব্দা সবার উপকার করে,4
সে শুধু তোমার সাথেই ভাল থাকে,4
আগের দিন গুলো সুন্দর ছিলো,4
সে খুব শান্ত মানুষ তাই তার সাথে সুখেই আছি,4
নিজের উপরে বিশ্বাস রাখা ভালো,4
আমার মনে কোনো দুঃখ নাই,4
সে অনেক অমায়িক,4
কাজটি শুরু করে ঠিকমত শেষ করতে পারলাম,4
এতো দিনে জীবনে খুশি আসলো,4
আমার সত্য কথা বলা পছন্দ,4
